50 271
42 2
37 G 29
18 D 41
6 D 43
1 G 4
25 D 43
19 T 8
33 D 12
34 T 9
1 T 5
15 T 11
42 D 39
10 G 41
14 D 2
24 T 26
29 T 44
7 G 32
48 G 46
16 G 1
21 G 29
4 D 38
30 T 29
43 T 43
24 D 48
40 G 25
42 T 6
42 G 10
39 G 37
16 D 43
47 D 39
6 T 40
7 D 21
20 D 9
19 T 42
39 T 45
34 D 4
35 T 36
8 D 28
19 D 17
43 G 30
20 T 30
31 T 0
29 T 31
0 T 4
17 G 16
10 D 19
42 T 4
35 D 27
22 G 48
3 T 36
7 G 16
41 T 39
5 G 7
17 G 29
4 T 5
30 D 41
29 T 12
11 T 25
10 D 40
16 T 24
48 D 30
1 T 42
32 D 29
45 T 43
26 T 18
19 G 12
43 D 22
47 D 41
9 T 34
37 T 46
21 D 15
5 T 25
23 T 26
10 G 18
42 T 11
30 D 10
22 T 37
32 D 48
32 G 33
13 G 12
8 T 5
29 D 10
7 G 18
27 G 40
1 G 23
36 G 15
21 D 12
49 D 31
21 T 48
40 D 42
1 T 21
13 D 26
21 D 45
9 D 40
12 G 10
0 D 3
6 G 12
30 D 12
10 G 38
25 D 10
5 T 30
24 T 7
46 D 32
19 G 13
25 D 25
1 T 27
1 D 14
15 G 13
42 D 23
33 T 27
21 G 44
24 D 22
33 G 42
17 G 42
4 T 8
41 G 15
2 D 28
29 T 13
33 D 24
1 T 29
36 D 13
33 G 40
12 T 15
14 G 13
13 G 31
22 D 45
46 D 30
14 G 14
10 G 14
3 G 45
4 T 35
49 G 4
30 T 49
13 D 28
4 G 41
49 G 24
44 G 9
34 T 45
28 D 10
33 T 35
20 T 49
26 T 28
18 D 44
40 G 7
24 T 10
48 T 41
42 G 22
38 T 26
7 T 21
24 T 46
12 G 8
34 D 47
15 G 14
45 G 6
46 G 37
44 T 16
16 G 11
41 G 32
38 G 22
18 D 20
46 G 38
1 G 0
8 G 43
35 T 11
7 T 11
49 G 1
3 T 2
0 G 18
37 G 10
8 D 49
8 D 14
32 T 21
35 T 35
10 T 49
45 G 14
16 G 24
34 D 30
14 D 12
7 G 43
31 T 21
32 G 24
17 T 21
45 G 24
42 G 35
13 D 4
46 D 37
27 T 9
27 D 13
20 G 3
9 D 21
14 T 42
42 G 7
16 G 46
34 G 18
34 T 20
45 G 16
12 G 34
7 T 15
26 G 31
41 G 42
37 G 3
36 G 10
17 D 14
46 T 36
24 D 17
30 G 3
28 T 23
27 G 24
10 G 36
8 G 34
17 D 10
47 G 5
30 D 42
5 D 1
34 G 37
8 D 25
19 D 27
7 T 3
10 T 24
28 G 12
8 G 33
47 T 36
4 T 24
28 G 6
43 T 31
2 G 34
20 D 31
30 G 8
15 D 10
41 T 0
24 T 39
1 D 47
27 T 3
3 T 10
31 G 27
6 G 30
48 D 32
14 G 49
12 D 16
45 T 30
43 G 34
37 D 0
16 T 39
0 D 1
24 G 32
9 D 10
42 T 30
5 G 8
6 D 45
29 G 15
10 T 7
39 T 4
2 D 30
23 T 11
3 G 19
1 D 0
11 G 22
25 D 20
47 T 47
40 G 13
20 T 0
13 T 35
24 D 40
39 D 42
26 T 33
19 G 28
37 T 5
1 D 34
4 G 22
10 D 32
3 G 21
46 G 2
